competencia,fecha,local,visitante
PRIMERA A,1,DEFENSORES DE AYACUCHO,Gimnasia y Esgrima
PRIMERA A,1,Deportivo Tandil,Ferrocarril Sud
PRIMERA A,1,Independiente,Santamarina
PRIMERA A,1,Juventud Unida,UNICEN
PRIMERA A,1,SARMIENTO (AYACUCHO),Juarense
PRIMERA A,1,Velense,ATLETICO AYACUCHO
PRIMERA A,2,DEFENSORES DE AYACUCHO,Juventud Unida
PRIMERA A,2,Deportivo Tandil,Gimnasia y Esgrima
PRIMERA A,2,Ferrocarril Sud,Independiente
PRIMERA A,2,Juarense,ATLETICO AYACUCHO
PRIMERA A,2,UNICEN,SARMIENTO (AYACUCHO)
PRIMERA A,2,Velense,Santamarina
PRIMERA A,3,ATLETICO AYACUCHO,Juventud Unida
PRIMERA A,3,Ferrocarril Sud,Gimnasia y Esgrima
PRIMERA A,3,Juarense,Independiente
PRIMERA A,3,Santamarina,SARMIENTO (AYACUCHO)
PRIMERA A,3,UNICEN,Deportivo Tandil
PRIMERA A,3,Velense,DEFENSORES DE AYACUCHO
PRIMERA A,4,Gimnasia y Esgrima,ATLETICO AYACUCHO
PRIMERA A,4,Independiente,Ferrocarril Sud
PRIMERA A,4,Juarense,Velense
PRIMERA A,4,SARMIENTO (AYACUCHO),Deportivo Tandil
PRIMERA A,4,Santamarina,DEFENSORES DE AYACUCHO
PRIMERA A,4,UNICEN,Juventud Unida
PRIMERA A,5,ATLETICO AYACUCHO,Ferrocarril Sud
PRIMERA A,5,Deportivo Tandil,Juventud Unida
PRIMERA A,5,Gimnasia y Esgrima,UNICEN
PRIMERA A,5,Independiente,Juarense
PRIMERA A,5,SARMIENTO (AYACUCHO),DEFENSORES DE AYACUCHO
PRIMERA A,5,Santamarina,Velense
PRIMERA A,6,Deportivo Tandil,Independiente
PRIMERA A,6,Ferrocarril Sud,UNICEN
PRIMERA A,6,Gimnasia y Esgrima,DEFENSORES DE AYACUCHO
PRIMERA A,6,SARMIENTO (AYACUCHO),ATLETICO AYACUCHO
PRIMERA A,6,Santamarina,Juventud Unida
PRIMERA A,6,Velense,Juarense
PRIMERA A,7,ATLETICO AYACUCHO,Gimnasia y Esgrima
PRIMERA A,7,Deportivo Tandil,DEFENSORES DE AYACUCHO
PRIMERA A,7,Ferrocarril Sud,Velense
PRIMERA A,7,Independiente,SARMIENTO (AYACUCHO)
PRIMERA A,7,Juventud Unida,Santamarina
